,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
97,874688410492993537,RT @saladelyonnaise: Législatives : ces candidats macronistes qui refusent de débattre à #Lyon et dans le Rhône https://t.co/a05IxSvaS3… ,Tue Jun 13 18:02:22 +0000 2017,LaurePradelle,Laure Pradelle,Lyon,,,https://saladelyonnaise.com/article/legislatives-macronistes-refusent-de-debattre,,,,,,5694,202,79,fr,
98,874688411789078528,Les secrets de l’#archéologie au #musée gallo-romain #Lyon : 17-18 juin avec ateliers pour les #jeunes  https://t.co/mFh3fANbfT,Tue Jun 13 18:02:22 +0000 2017,CindyFeix,Cindy Feix,archéologie,musée,Lyon,http://www.met.grandlyon.com/les-secrets-de-larcheologie-au-musee-gallo-romain/,,,,,,12112,1115,1116,fr,Cognac 
99,874688446593478660,RT @actualite_lyon: La journée des conseils syndicaux de Lyon aura lieu le 20 juin – Lyon Pôle Immo https://t.co/tuhY2vrsMl #Lyon,Tue Jun 13 18:02:31 +0000 2017,CRoume,Clo Roume,Lyon,,,http://ift.tt/2s5dPAS,,,,,,7887,576,581,fr,Région Rhône Alpes
100,874688457364447232,31 a lyon pacotille,Tue Jun 13 18:02:33 +0000 2017,w0npile,you(=I),,,,,,,,,,53366,125,471,fr,
101,874688497222901761,"RT @FekirNabilon69: Selon @MattMargueritte,il y aurait aucun contact entre Lyon et Chicharito",Tue Jun 13 18:02:43 +0000 2017,camsnf,Cameron,,,,,,,,,,67536,120,634,fr,
102,874688516806119424,"Sur les quais de Saône avant les vacances !
#Lyon https://t.co/RB51S2C6we",Tue Jun 13 18:02:47 +0000 2017,x_Nyto,Nyto,Lyon,,,,,,,,,198,67,54,fr,"Lyon, France"
103,874688547156099072,Dehors les fachos. https://t.co/oiwgFOqWJS,Tue Jun 13 18:02:55 +0000 2017,Sherimander,The Tiny Bearrister,,,,https://twitter.com/lyoncap/status/874622397453697025,,,,,,48760,466,717,fr,Arkham
104,874688560837926912,@Quentinrbd @ActuFoot_ @RMCsport jdis pas le contraire mais avoue que tu t'attendais à mieux que germain non? Perso… https://t.co/xj8JBaW4sR,Tue Jun 13 18:02:58 +0000 2017,OlymOL,Benze,,,,https://twitter.com/i/web/status/874688560837926912,,,Quentinrbd,512171493,874687372000206848,2210,27,55,fr,
105,874688561299288064,@TWD_N @Makzsimovic @TrickPaH10 @Tail53192382 @Chichapsg @ActuFoot_ Deschamps  il préfère mètre son oncle en n9 que… https://t.co/GReReDkPjR,Tue Jun 13 18:02:58 +0000 2017,bielsaaaaa1,bielsaaaaa,,,,https://twitter.com/i/web/status/874688561299288064,,,TWD_N,2741892635,874681877025738752,1739,99,67,fr,"Toulon, France"
106,874688575320858628,@Yannick_Kmbl Quel supporters ? Ou ca ? A lyon nonnnnn. Que des consanguins raciste sans cervelle,Tue Jun 13 18:03:01 +0000 2017,FariaPaolo,faria paolo,,,,,,,Yannick_Kmbl,262233064,874663052616118278,5254,158,40,en,"Nantes, Pays de la Loire"
107,874688586460917761,"On pensait technique éventée mais demande trop forte : ce soir parc public Paris 14eme, trois groupes font tourner… https://t.co/mb2Sq5TxKz",Tue Jun 13 18:03:04 +0000 2017,alain_auge,Alain Augé,,,,https://twitter.com/i/web/status/874688586460917761,,,,,,26672,2595,730,fr,
108,874688614151712769,"@Zempeknio @RomainHaering Euh, oui, regarde les matchs de Lyon, toute la saison ils ont joué sur le côté de Valbuen… https://t.co/ZhlzePJiEp",Tue Jun 13 18:03:11 +0000 2017,ooeooeeooeooee,Pas ta pote,,,,https://twitter.com/i/web/status/874688614151712769,,,Zempeknio,821502136898977794,874685771688669184,277,24,20,fr,L'Equipe21
109,874688631587438592,@fablyon69330 @peter_jak88 D'accord MaIs ton premier tweet il disait justement que c'était l'OM qui volait les idées de Lyon 🤷‍♂️,Tue Jun 13 18:03:15 +0000 2017,PaulinoAt,That Name,,,,,,,fablyon69330,463307305,874687974193197057,7064,355,83,fr,
110,874688636939370496,Merci au @Clusterlumiere pour cette invitation de l'@LumiereACE au dîner de gala à l'hôtel de ville de Lyon https://t.co/PCY6nSHDfh,Tue Jun 13 18:03:16 +0000 2017,SCastagne,Sara Castagné,,,,,,,,,,61,161,171,fr,"Bagneux, France"
111,874688665053745161,mdr vu le JT je suis bien contente de pas être sous la chaleur étouffante de Lyon,Tue Jun 13 18:03:23 +0000 2017,sheItercup,clowi,,,,,,,,,,10295,260,544,fr,Lyon/Reunion Island
112,874688686880935937,"RUBRIQUE : Cinéma

OBJET : Aïcha 45 ans, Court-métrage « Soleil Blanc »

LIEU : France/Lyon

QUAND :  2017... https://t.co/RdEZjBepKx",Tue Jun 13 18:03:28 +0000 2017,castingsplus,Casting +,,,,http://fb.me/4F2Q8c9i3,,,,,,21523,0,915,fr,
